handle,image_path,alt
tratamiento-ceramico-detailing-center,product-images/tratamiento-ceramico/tratamiento-ceramico-detailing-center/tratamiento-ceramico-detailing-center-01.webp,Tratamiento cerámico para vehículo 1
tratamiento-ceramico-detailing-center,product-images/tratamiento-ceramico/tratamiento-ceramico-detailing-center/tratamiento-ceramico-detailing-center-02.webp,Tratamiento cerámico para vehículo 2
tratamiento-ceramico-detailing-center,product-images/tratamiento-ceramico/tratamiento-ceramico-detailing-center/tratamiento-ceramico-detailing-center-03.webp,Tratamiento cerámico para vehículo 3
tratamiento-ceramico-detailing-center,product-images/tratamiento-ceramico/tratamiento-ceramico-detailing-center/tratamiento-ceramico-detailing-center-04.webp,Tratamiento cerámico para vehículo 4
tratamiento-ceramico-detailing-center,product-images/tratamiento-ceramico/tratamiento-ceramico-detailing-center/tratamiento-ceramico-detailing-center-05.webp,Tratamiento cerámico para vehículo 5
tratamiento-ceramico-detailing-center,product-images/tratamiento-ceramico/tratamiento-ceramico-detailing-center/tratamiento-ceramico-detailing-center-06.webp,Tratamiento cerámico para vehículo 6
pulido-general-detailing-center,product-images/pulido-pintura/pulido-general-detailing-center/pulido-general-detailing-center-01.webp,Pulido general de pintura 1
pulido-general-detailing-center,product-images/pulido-pintura/pulido-general-detailing-center/pulido-general-detailing-center-02.webp,Pulido general de pintura 2
pulido-general-detailing-center,product-images/pulido-pintura/pulido-general-detailing-center/pulido-general-detailing-center-03.webp,Pulido general de pintura 3
pulido-general-detailing-center,product-images/pulido-pintura/pulido-general-detailing-center/pulido-general-detailing-center-04.webp,Pulido general de pintura 4
pulido-general-detailing-center,product-images/pulido-pintura/pulido-general-detailing-center/pulido-general-detailing-center-05.webp,Pulido general de pintura 5
pulido-general-detailing-center,product-images/pulido-pintura/pulido-general-detailing-center/pulido-general-detailing-center-06.webp,Pulido general de pintura 6
polarizado-detailing-center,product-images/polarizado-automotriz/polarizado-detailing-center/polarizado-detailing-center-01.webp,Polarizado de lunas para vehículo 1
polarizado-detailing-center,product-images/polarizado-automotriz/polarizado-detailing-center/polarizado-detailing-center-02.webp,Polarizado de lunas para vehículo 2
polarizado-detailing-center,product-images/polarizado-automotriz/polarizado-detailing-center/polarizado-detailing-center-03.webp,Polarizado de lunas para vehículo 3
polarizado-detailing-center,product-images/polarizado-automotriz/polarizado-detailing-center/polarizado-detailing-center-04.webp,Polarizado de lunas para vehículo 4
polarizado-detailing-center,product-images/polarizado-automotriz/polarizado-detailing-center/polarizado-detailing-center-05.webp,Polarizado de lunas para vehículo 5
polarizado-detailing-center,product-images/polarizado-automotriz/polarizado-detailing-center/polarizado-detailing-center-06.webp,Polarizado de lunas para vehículo 6
full-body-ppf-detailing-center,product-images/ppf-full-body/full-body-ppf-detailing-center/full-body-ppf-detailing-center-01.webp,Instalación Full Body PPF 1
full-body-ppf-detailing-center,product-images/ppf-full-body/full-body-ppf-detailing-center/full-body-ppf-detailing-center-02.webp,Instalación Full Body PPF 2
full-body-ppf-detailing-center,product-images/ppf-full-body/full-body-ppf-detailing-center/full-body-ppf-detailing-center-03.webp,Instalación Full Body PPF 3
full-body-ppf-detailing-center,product-images/ppf-full-body/full-body-ppf-detailing-center/full-body-ppf-detailing-center-04.webp,Instalación Full Body PPF 4
full-body-ppf-detailing-center,product-images/ppf-full-body/full-body-ppf-detailing-center/full-body-ppf-detailing-center-05.webp,Instalación Full Body PPF 5
full-body-ppf-detailing-center,product-images/ppf-full-body/full-body-ppf-detailing-center/full-body-ppf-detailing-center-06.webp,Instalación Full Body PPF 6
ppf-proteccion-de-partes-detailing-center,product-images/ppf-partes/ppf-proteccion-de-partes-detailing-center/ppf-proteccion-de-partes-detailing-center-01.webp,PPF para protección de partes 1
ppf-proteccion-de-partes-detailing-center,product-images/ppf-partes/ppf-proteccion-de-partes-detailing-center/ppf-proteccion-de-partes-detailing-center-02.webp,PPF para protección de partes 2
ppf-proteccion-de-partes-detailing-center,product-images/ppf-partes/ppf-proteccion-de-partes-detailing-center/ppf-proteccion-de-partes-detailing-center-03.webp,PPF para protección de partes 3
ppf-proteccion-de-partes-detailing-center,product-images/ppf-partes/ppf-proteccion-de-partes-detailing-center/ppf-proteccion-de-partes-detailing-center-04.webp,PPF para protección de partes 4
ppf-proteccion-de-partes-detailing-center,product-images/ppf-partes/ppf-proteccion-de-partes-detailing-center/ppf-proteccion-de-partes-detailing-center-05.webp,PPF para protección de partes 5
ppf-proteccion-de-partes-detailing-center,product-images/ppf-partes/ppf-proteccion-de-partes-detailing-center/ppf-proteccion-de-partes-detailing-center-06.webp,PPF para protección de partes 6
